/home/wangsh/DBALwithImgData-main/main.py:10: DeprecationWarning: Please use `gaussian_filter1d` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import gaussian_filter1d
Using device: cuda:0
Dataset is unwei_ASL_MNIST
DataLoader :  <load_data.LoadASLData object at 0x148b167c6dc0>

---------- Start uniform-MC_dropout=True training! ----------
********** Experiment Iterations: 1/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4200
test Accuracy after query 5: 0.3934
Val Accuracy after query 10: 0.4600
test Accuracy after query 10: 0.4642
Val Accuracy after query 15: 0.5700
test Accuracy after query 15: 0.5682
Val Accuracy after query 20: 0.6100
test Accuracy after query 20: 0.5986
Val Accuracy after query 25: 0.7000
test Accuracy after query 25: 0.6480
Val Accuracy after query 30: 0.6500
test Accuracy after query 30: 0.6930
Val Accuracy after query 35: 0.7100
test Accuracy after query 35: 0.6954
Val Accuracy after query 40: 0.7200
test Accuracy after query 40: 0.7166
Val Accuracy after query 45: 0.7600
test Accuracy after query 45: 0.7276
Val Accuracy after query 50: 0.8100
test Accuracy after query 50: 0.7512
Val Accuracy after query 55: 0.7900
test Accuracy after query 55: 0.7780
Val Accuracy after query 60: 0.8100
test Accuracy after query 60: 0.7730
Val Accuracy after query 65: 0.8500
test Accuracy after query 65: 0.8028
Val Accuracy after query 70: 0.8600
test Accuracy after query 70: 0.8102
Val Accuracy after query 75: 0.9000
test Accuracy after query 75: 0.8136
Val Accuracy after query 80: 0.8600
test Accuracy after query 80: 0.8328
Val Accuracy after query 85: 0.8700
test Accuracy after query 85: 0.8324
Val Accuracy after query 90: 0.8800
test Accuracy after query 90: 0.8494
Val Accuracy after query 95: 0.8700
test Accuracy after query 95: 0.8560
Val Accuracy after query 100: 0.9200
test Accuracy after query 100: 0.8574
Val Accuracy after query 105: 0.8900
test Accuracy after query 105: 0.8556
Val Accuracy after query 110: 0.9200
test Accuracy after query 110: 0.8888
Val Accuracy after query 115: 0.9100
test Accuracy after query 115: 0.8790
Val Accuracy after query 120: 0.9200
test Accuracy after query 120: 0.8812
Val Accuracy after query 125: 0.9300
test Accuracy after query 125: 0.8850
Val Accuracy after query 130: 0.9100
test Accuracy after query 130: 0.8832
Val Accuracy after query 135: 0.9300
test Accuracy after query 135: 0.8888
Val Accuracy after query 140: 0.9200
test Accuracy after query 140: 0.8864
Val Accuracy after query 145: 0.9300
test Accuracy after query 145: 0.8834
Val Accuracy after query 150: 0.9300
test Accuracy after query 150: 0.8938
********** Test Accuracy per experiment: 0.8938 **********
********** Experiment 1 (uniform-MC_dropout=True): 0:5:47 **********
********** Experiment Iterations: 2/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.3600
test Accuracy after query 5: 0.4070
Val Accuracy after query 10: 0.4500
test Accuracy after query 10: 0.4930
Val Accuracy after query 15: 0.5600
test Accuracy after query 15: 0.5536
Val Accuracy after query 20: 0.6200
test Accuracy after query 20: 0.5796
Val Accuracy after query 25: 0.6800
test Accuracy after query 25: 0.5866
Val Accuracy after query 30: 0.6900
test Accuracy after query 30: 0.6458
Val Accuracy after query 35: 0.7300
test Accuracy after query 35: 0.6778
Val Accuracy after query 40: 0.7700
test Accuracy after query 40: 0.7250
Val Accuracy after query 45: 0.7600
test Accuracy after query 45: 0.6846
Val Accuracy after query 50: 0.7600
test Accuracy after query 50: 0.7436
Val Accuracy after query 55: 0.7900
test Accuracy after query 55: 0.7472
Val Accuracy after query 60: 0.8400
test Accuracy after query 60: 0.7678
Val Accuracy after query 65: 0.9000
test Accuracy after query 65: 0.7692
Val Accuracy after query 70: 0.8500
test Accuracy after query 70: 0.7920
Val Accuracy after query 75: 0.8900
test Accuracy after query 75: 0.8124
Val Accuracy after query 80: 0.9200
test Accuracy after query 80: 0.8274
Val Accuracy after query 85: 0.9300
test Accuracy after query 85: 0.8114
Val Accuracy after query 90: 0.9200
test Accuracy after query 90: 0.8352
Val Accuracy after query 95: 0.9400
test Accuracy after query 95: 0.8438
Val Accuracy after query 100: 0.9400
test Accuracy after query 100: 0.8294
Val Accuracy after query 105: 0.9400
test Accuracy after query 105: 0.8562
Val Accuracy after query 110: 0.9400
test Accuracy after query 110: 0.8458
Val Accuracy after query 115: 0.9400
test Accuracy after query 115: 0.8498
Val Accuracy after query 120: 0.9600
test Accuracy after query 120: 0.8644
Val Accuracy after query 125: 0.9800
test Accuracy after query 125: 0.8526
Val Accuracy after query 130: 0.9800
test Accuracy after query 130: 0.8680
Val Accuracy after query 135: 0.9900
test Accuracy after query 135: 0.8702
Val Accuracy after query 140: 0.9900
test Accuracy after query 140: 0.8720
Val Accuracy after query 145: 0.9800
test Accuracy after query 145: 0.8750
Val Accuracy after query 150: 0.9700
test Accuracy after query 150: 0.8774
********** Test Accuracy per experiment: 0.8774 **********
********** Experiment 2 (uniform-MC_dropout=True): 0:5:41 **********
********** Experiment Iterations: 3/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4000
test Accuracy after query 5: 0.4232
Val Accuracy after query 10: 0.4600
test Accuracy after query 10: 0.4754
Val Accuracy after query 15: 0.5900
