/home/wangsh/DBALwithImgData-main/main.py:10: DeprecationWarning: Please use `gaussian_filter1d` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import gaussian_filter1d
Using device: cuda:0
DataLoader :  <load_data.LoadASL_imbal_Data object at 0x1507e2ddadc0>

---------- Start uniform-MC_dropout=True training! ----------
********** Experiment Iterations: 1/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4500
test Accuracy after query 5: 0.3814
Val Accuracy after query 10: 0.6100
test Accuracy after query 10: 0.4206
Val Accuracy after query 15: 0.6500
test Accuracy after query 15: 0.5042
Val Accuracy after query 20: 0.7100
test Accuracy after query 20: 0.5436
Val Accuracy after query 25: 0.7800
test Accuracy after query 25: 0.5502
Val Accuracy after query 30: 0.8500
test Accuracy after query 30: 0.5660
Val Accuracy after query 35: 0.8100
test Accuracy after query 35: 0.6018
Val Accuracy after query 40: 0.8200
test Accuracy after query 40: 0.5926
Val Accuracy after query 45: 0.8900
test Accuracy after query 45: 0.6506
Val Accuracy after query 50: 0.8700
test Accuracy after query 50: 0.6428
Val Accuracy after query 55: 0.8900
test Accuracy after query 55: 0.6528
Val Accuracy after query 60: 0.9100
test Accuracy after query 60: 0.6728
Val Accuracy after query 65: 0.9200
test Accuracy after query 65: 0.6660
Val Accuracy after query 70: 0.9400
test Accuracy after query 70: 0.6864
Val Accuracy after query 75: 0.9200
test Accuracy after query 75: 0.6980
Val Accuracy after query 80: 0.9300
test Accuracy after query 80: 0.7160
Val Accuracy after query 85: 0.9200
test Accuracy after query 85: 0.7072
Val Accuracy after query 90: 0.9100
test Accuracy after query 90: 0.7394
Val Accuracy after query 95: 0.9100
test Accuracy after query 95: 0.7430
Val Accuracy after query 100: 0.9200
test Accuracy after query 100: 0.7548
Val Accuracy after query 105: 0.9100
test Accuracy after query 105: 0.7724
Val Accuracy after query 110: 0.9200
test Accuracy after query 110: 0.7674
Val Accuracy after query 115: 0.9300
test Accuracy after query 115: 0.7820
Val Accuracy after query 120: 0.9200
test Accuracy after query 120: 0.7718
Val Accuracy after query 125: 0.9200
test Accuracy after query 125: 0.7950
Val Accuracy after query 130: 0.9300
test Accuracy after query 130: 0.7960
Val Accuracy after query 135: 0.9500
test Accuracy after query 135: 0.7928
Val Accuracy after query 140: 0.9400
test Accuracy after query 140: 0.7932
Val Accuracy after query 145: 0.9500
test Accuracy after query 145: 0.8108
Val Accuracy after query 150: 0.9300
test Accuracy after query 150: 0.8072
********** Test Accuracy per experiment: 0.8072 **********
********** Experiment 1 (uniform-MC_dropout=True): 0:6:7 **********
********** Experiment Iterations: 2/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.3900
test Accuracy after query 5: 0.3728
Val Accuracy after query 10: 0.5700
test Accuracy after query 10: 0.3930
Val Accuracy after query 15: 0.5600
test Accuracy after query 15: 0.4466
Val Accuracy after query 20: 0.6600
test Accuracy after query 20: 0.4912
Val Accuracy after query 25: 0.7000
test Accuracy after query 25: 0.5294
Val Accuracy after query 30: 0.7500
test Accuracy after query 30: 0.5496
Val Accuracy after query 35: 0.7800
test Accuracy after query 35: 0.5926
Val Accuracy after query 40: 0.8000
test Accuracy after query 40: 0.6412
Val Accuracy after query 45: 0.8200
test Accuracy after query 45: 0.6454
Val Accuracy after query 50: 0.8300
test Accuracy after query 50: 0.6118
Val Accuracy after query 55: 0.8200
test Accuracy after query 55: 0.6538
Val Accuracy after query 60: 0.8400
test Accuracy after query 60: 0.6688
Val Accuracy after query 65: 0.8500
test Accuracy after query 65: 0.6580
Val Accuracy after query 70: 0.8300
test Accuracy after query 70: 0.6756
Val Accuracy after query 75: 0.8400
test Accuracy after query 75: 0.7022
Val Accuracy after query 80: 0.8700
test Accuracy after query 80: 0.7018
Val Accuracy after query 85: 0.8600
test Accuracy after query 85: 0.7120
Val Accuracy after query 90: 0.8700
test Accuracy after query 90: 0.7214
Val Accuracy after query 95: 0.8800
test Accuracy after query 95: 0.7400
Val Accuracy after query 100: 0.9100
test Accuracy after query 100: 0.7746
Val Accuracy after query 105: 0.9000
test Accuracy after query 105: 0.7670
Val Accuracy after query 110: 0.9200
test Accuracy after query 110: 0.7656
Val Accuracy after query 115: 0.9200
test Accuracy after query 115: 0.7744
Val Accuracy after query 120: 0.9200
test Accuracy after query 120: 0.7738
Val Accuracy after query 125: 0.9100
test Accuracy after query 125: 0.7560
Val Accuracy after query 130: 0.9100
test Accuracy after query 130: 0.7954
Val Accuracy after query 135: 0.9400
test Accuracy after query 135: 0.7902
Val Accuracy after query 140: 0.9400
test Accuracy after query 140: 0.7862
Val Accuracy after query 145: 0.9400
test Accuracy after query 145: 0.7954
Val Accuracy after query 150: 0.9300
test Accuracy after query 150: 0.8114
********** Test Accuracy per experiment: 0.8114 **********
********** Experiment 2 (uniform-MC_dropout=True): 0:6:4 **********
********** Experiment Iterations: 3/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4900
test Accuracy after query 5: 0.3394
Val Accuracy after query 10: 0.5500
test Accuracy after query 10: 0.4002
Val Accuracy after query 15: 0.6400
