/home/wangsh/DBALwithImgData-main/main.py:10: DeprecationWarning: Please use `gaussian_filter1d` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import gaussian_filter1d
Using device: cuda:0
DataLoader :  <load_data.LoadASL_imbal_Data object at 0x151a586d2be0>

---------- Start uniform-MC_dropout=True training! ----------
********** Experiment Iterations: 1/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.5600
test Accuracy after query 5: 0.4680
Val Accuracy after query 10: 0.7000
test Accuracy after query 10: 0.4844
Val Accuracy after query 15: 0.8200
test Accuracy after query 15: 0.5368
Val Accuracy after query 20: 0.8000
test Accuracy after query 20: 0.5332
Val Accuracy after query 25: 0.8000
test Accuracy after query 25: 0.5570
Val Accuracy after query 30: 0.8300
test Accuracy after query 30: 0.5872
Val Accuracy after query 35: 0.8300
test Accuracy after query 35: 0.5854
Val Accuracy after query 40: 0.8500
test Accuracy after query 40: 0.6210
Val Accuracy after query 45: 0.8900
test Accuracy after query 45: 0.6460
Val Accuracy after query 50: 0.8900
test Accuracy after query 50: 0.6600
Val Accuracy after query 55: 0.8900
test Accuracy after query 55: 0.6342
Val Accuracy after query 60: 0.9200
test Accuracy after query 60: 0.6728
Val Accuracy after query 65: 0.9000
test Accuracy after query 65: 0.6892
Val Accuracy after query 70: 0.9100
test Accuracy after query 70: 0.7060
Val Accuracy after query 75: 0.9000
test Accuracy after query 75: 0.7026
Val Accuracy after query 80: 0.9300
test Accuracy after query 80: 0.7202
Val Accuracy after query 85: 0.9400
test Accuracy after query 85: 0.7218
Val Accuracy after query 90: 0.9600
test Accuracy after query 90: 0.7596
Val Accuracy after query 95: 0.9100
test Accuracy after query 95: 0.7522
Val Accuracy after query 100: 0.9400
test Accuracy after query 100: 0.7756
Val Accuracy after query 105: 0.9600
test Accuracy after query 105: 0.7900
Val Accuracy after query 110: 0.9500
test Accuracy after query 110: 0.7880
Val Accuracy after query 115: 0.9600
test Accuracy after query 115: 0.8024
Val Accuracy after query 120: 0.9500
test Accuracy after query 120: 0.7878
Val Accuracy after query 125: 0.9600
test Accuracy after query 125: 0.8084
Val Accuracy after query 130: 0.9700
test Accuracy after query 130: 0.7962
Val Accuracy after query 135: 0.9700
test Accuracy after query 135: 0.8078
Val Accuracy after query 140: 0.9600
test Accuracy after query 140: 0.8054
Val Accuracy after query 145: 0.9600
test Accuracy after query 145: 0.7962
Val Accuracy after query 150: 0.9500
test Accuracy after query 150: 0.8110
********** Test Accuracy per experiment: 0.811 **********
********** Experiment 1 (uniform-MC_dropout=True): 0:5:49 **********
********** Experiment Iterations: 2/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.5800
test Accuracy after query 5: 0.4342
Val Accuracy after query 10: 0.6500
test Accuracy after query 10: 0.4750
Val Accuracy after query 15: 0.7200
test Accuracy after query 15: 0.4868
Val Accuracy after query 20: 0.7500
test Accuracy after query 20: 0.5262
Val Accuracy after query 25: 0.7700
test Accuracy after query 25: 0.5596
Val Accuracy after query 30: 0.8300
test Accuracy after query 30: 0.5820
Val Accuracy after query 35: 0.8200
test Accuracy after query 35: 0.5918
Val Accuracy after query 40: 0.8400
test Accuracy after query 40: 0.6322
Val Accuracy after query 45: 0.8500
test Accuracy after query 45: 0.6566
Val Accuracy after query 50: 0.8600
test Accuracy after query 50: 0.6746
Val Accuracy after query 55: 0.8500
test Accuracy after query 55: 0.7088
Val Accuracy after query 60: 0.8600
test Accuracy after query 60: 0.6802
Val Accuracy after query 65: 0.9000
test Accuracy after query 65: 0.7118
Val Accuracy after query 70: 0.9100
test Accuracy after query 70: 0.7148
Val Accuracy after query 75: 0.8900
test Accuracy after query 75: 0.7004
Val Accuracy after query 80: 0.9100
test Accuracy after query 80: 0.7178
Val Accuracy after query 85: 0.9100
test Accuracy after query 85: 0.7402
Val Accuracy after query 90: 0.9100
test Accuracy after query 90: 0.7460
Val Accuracy after query 95: 0.9000
test Accuracy after query 95: 0.7412
Val Accuracy after query 100: 0.9100
test Accuracy after query 100: 0.7728
Val Accuracy after query 105: 0.9100
test Accuracy after query 105: 0.7416
Val Accuracy after query 110: 0.9200
test Accuracy after query 110: 0.7738
Val Accuracy after query 115: 0.9400
test Accuracy after query 115: 0.7878
Val Accuracy after query 120: 0.9200
test Accuracy after query 120: 0.7734
Val Accuracy after query 125: 0.9200
test Accuracy after query 125: 0.7908
Val Accuracy after query 130: 0.9400
test Accuracy after query 130: 0.7816
Val Accuracy after query 135: 0.9500
test Accuracy after query 135: 0.7952
Val Accuracy after query 140: 0.9600
test Accuracy after query 140: 0.8070
Val Accuracy after query 145: 0.9400
test Accuracy after query 145: 0.8094
Val Accuracy after query 150: 0.9600
test Accuracy after query 150: 0.8056
********** Test Accuracy per experiment: 0.8056 **********
********** Experiment 2 (uniform-MC_dropout=True): 0:5:38 **********
********** Experiment Iterations: 3/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.5300
test Accuracy after query 5: 0.4542
Val Accuracy after query 10: 0.5800
test Accuracy after query 10: 0.4768
Val Accuracy after query 15: 0.7000
